"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"549",7.66367300885714,9.24915893142857,7.47295007414286,37.7770476921429,6.96318663985713,1.88587961971429,6.51067355821429,1.887770596,16.9928627329286,2.27547631478571,8.37663834050001,8.44235644714286,6.34582033721428,5.25567749642857
"550",4.12179034746925,3.02616474541512,3.79934826330869,19.0914543757601,1.4394160178712,0.8227460846519,2.64314470599004,0.536526942476591,3.97591642125647,0,0,2.69899455374326,1.09450190825402,1.34793433393784
"551",1.87743399170822,0.249969570010691,1.60322708985584,7.98570225470943,0,0.263816113097067,0.706700184417715,0,0,0,0,0.162776289640826,0,0
"552",0.610278892307358,0,0.473729890010791,2.33136092933981,0,0.0444479899222718,0.044573960190105,0,0,0,0,0,0,0
"553",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"555",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"556",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"557",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"558",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"559",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"560",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"561",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"562",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"563",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"564",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"566",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"567",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"568",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"569",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"570",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"571",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"572",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"573",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"574",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"575",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"576",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"577",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"578",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"579",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"580",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"581",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"583",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"584",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"585",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"587",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"588",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"589",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"590",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"591",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"592",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"593",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"594",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"595",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"596",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"597",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"598",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"599",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"600",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"601",0,8.88178419700125e-16,0,1.77635683940025e-15,0,0,4.44089209850063e-16,0,0,0.808911934285715,1.73499128164286,7.105427357601e-15,3.07657693071428,0
"602",4.35429759968345,5.69017225458754,7.13313357517144,10.0064042833734,3.59802098734674,2.00252186606338,4.41430214304266,1.97316836998073,24.0149058467614,4.40223865933262,17.143418552952,25.6850587058713,14.9696507842857,7.81291141916992
"603",10.6522107959762,14.1191745665246,17.0829739540673,25.789050487813,9.16548745092073,4.68021302310436,10.9021355665058,4.67977903899823,58.4026716519719,9.61358730687993,39.5670042419082,61.0368659390449,31.5949237756206,18.9453215842795
"604",18.1288425998166,24.5086479521636,28.1880522205724,47.0465701428104,16.4744637839451,7.43811565853959,18.8027454261803,7.6094003906059,98.5592952228036,15.9997098383087,66.8213487647853,99.5438322803746,50.877537953788,31.838039309035
"605",26.0192960221429,36.0802334278571,38.7868994585714,73.4775947778571,25.2970143796429,9.68127195978571,27.4553768778571,10.2516008083571,139.880774366429,23.117358215,96.7220525378571,134.694368310714,70.7426353678572,44.9318734071429
"606",33.684753036794,48.0697381960233,47.5170662737631,104.529505885709,35.3439598625644,10.9846978310887,36.2870812029235,12.2411033621601,178.453783511222,30.5233828651561,127.335550024824,161.320600610193,89.4530115762124,56.9357575233684
"607",40.9907114692115,59.7696342033429,54.212181359101,138.64468481218,46.0811457825687,11.6033040440115,45.076134185152,13.7932498673421,213.12770357037,37.7750280842643,157.731611879092,179.62951975604,106.6220761745,67.6311246267128
"608",47.9287481077375,70.4865595825624,59.0048929293527,174.014262866346,56.9131739208423,11.9619750869464,53.6886177339116,15.2685368255852,243.442592078261,44.4296366346333,187.230842801492,191.17183232476,122.20089226768,77.0675325172366
"609",54.4904397407143,79.5271524664286,62.0278491992857,208.829371357286,67.2446460585714,12.4855954482857,61.9906137585714,17.0274607385714,268.938506569286,50.0445512785714,215.153847492857,197.498244892857,136.140522960714,85.294538995
"610",60.6390221668125,86.3822421995002,63.5146768584225,241.537845373647,76.7060713284058,13.4819872066132,69.8155730412455,19.2908787885161,289.418148579791,54.3530329259135,241.014530823434,200.17198921368,148.398661665563,92.402507987033
"611",66.2243672260172,91.2794229735861,64.1029164953054,271.614335122362,85.8315882688489,14.7907228012784,76.8664218550291,21.7210908797672,305.73479565396,57.7920150765984,265.099998341127,200.806397747955,158.959523022185,98.6450279282442
"612",71.0680057686418,94.6304801923075,64.5310871732321,298.790194589931,95.3812427698676,16.1343122618222,82.8134553457623,23.8407575972062,319.004369337935,60.9743493780913,287.890655763257,201.027328133253,167.813951977535,104.316493380512
