Wind NREL,Wind,Solar NREL,Solar
233.0074943,75.06123369,1993.287703,231.2
233.1012694,70.97855811,1888.16395,256.3
229.6636656,66.40619051,1761.518423,261.8
223.9029974,58.67680675,1616.199733,276.7
217.0275797,56.63747313,1455.056493,284.9
210.0529469,59.41661802,1280.822137,169.9
203.2197079,58.25019521,1095.769384,133.9
196.5761182,58.10963683,902.0557757,126.7
190.1703299,59.37028221,701.8388532,77.2
184.3147628,57.72024918,499.737119,18.5
180.3690294,52.83335896,310.21292,2.3
179.9573513,50.50645632,150.1895644,0
184.70395,50.36852848,36.59036018,0
195.8689043,52.87450175,6.152344402,0
213.2540566,54.86166968,0,0
236.2974439,54.40555178,0,0
264.4371029,51.5570369,0,0
296.2465619,47.94263349,0,0
326.8408615,43.37252525,0,0
350.470623,40.68329953,0,0
361.3864681,39.58343148,0,0
355.9973514,38.69819001,0,0
339.3454143,38.3403667,0,0
318.6311525,34.97619164,0,0
301.0550618,32.23150257,0,0
291.7976386,27.64794926,0,0
287.9592505,22.44308146,0,0
284.6202608,19.07040324,0,0
276.8610333,15.74545452,0,0
261.3063459,12.6072055,0,0
240.7547915,9.981839329,0,0
219.544583,7.842617769,0,0
202.0195872,7.522413063,0,0
191.5933719,8.544160008,0,0
187.9510858,10.09381576,0,0
189.8486131,11.60584646,0,0
196.0425625,11.75562452,0,0
204.926946,12.67028077,0,0
213.4457701,14.89107719,0,0
218.1818317,19.46246235,0,0
215.7177231,13.93350686,0,0
203.9831726,18.81314635,0,0
186.290773,29.54171866,0,0
167.301474,35.69091167,0,0
151.6762255,33.94234323,0,0
143.0419686,34.47563463,0,0
140.8880233,39.1049168,0,0
143.6700166,44.15943092,0,0
149.8435755,49.55116074,0,0
157.8304014,51.97874631,0,0
165.9094607,56.34120507,0,0
172.3271979,57.15779324,0,0
175.3300574,57.33731796,0,0
173.8969749,55.07123823,0,0
169.9347129,54.55644265,0,0
166.0828727,55.68747523,0,0
164.9810556,53.06406739,0,0
168.5324287,46.16318878,0,0
175.6906599,40.01521759,0,0
184.6734232,41.93951014,0,0
193.6983924,42.84615177,0,0
201.2814296,37.38052315,0,0
207.1265814,32.78373693,0,0
211.2357997,29.46957959,0,0
213.611881,29.75571127,0,0
213.9842508,26.875493,24.56059672,0
210.982502,22.20828816,68.11305179,0
202.9626559,20.80949698,135.804661,0
188.2807339,19.47214805,240.3566096,0
166.4138426,20.48492211,410.2058861,52.3
141.3231615,21.75907574,619.1117227,103.7
118.0909418,21.2149342,847.5635594,214.7
101.7994347,24.69716276,1076.050836,295.8
96.0721324,25.6472889,1288.549753,359.1
98.6966794,22.99260571,1482.983556,404.9
106.0018746,22.26021316,1660.762249,449.3
114.316517,23.55599733,1823.295839,474.9
120.7869354,24.47135377,1971.706554,479.5
125.5467545,24.82503626,2105.965521,443.5
129.5910687,24.58790184,2225.756091,491.7
133.9361402,31.44538485,2330.761613,498.6
139.1849273,33.72639066,2420.829065,525.1
144.277975,31.10727379,2496.459922,543.3
147.744081,28.60677051,2558.31929,564.8
148.1428531,26.73851008,2607.072271,562
144.6048229,24.0455439,2643.269795,560.2
138.5564641,24.68299052,2667.006091,576.9
132.005208,25.67076865,2678.261216,561.6
126.9584854,23.32646011,2677.015225,561.9
124.8966704,27.26919343,2663.328322,565.8
125.1919087,34.91805337,2637.581293,571.1
126.6892892,37.53830646,2600.235072,570.8
128.2339006,44.81986245,2551.750593,553.7
128.8698153,54.72855278,2492.024642,563.1
128.4370404,59.28112972,2418.697409,560.1
126.9745667,60.61338474,2328.844935,553
124.5213849,61.15893465,2219.543262,545.6
121.1211118,59.96729343,2088.807441,542.1
116.8333284,60.94485615,1938.408573,531.2
111.7212611,53.25534044,1771.056767,513
105.8496856,54.27940181,1589.462134,482
99.49213068,58.75448839,1396.209284,422.8
93.75323183,78.53686785,1193.380835,375.3
89.94716978,89.64685931,982.9339018,301.8
89.38812532,80.59417394,766.8256032,197.7
93.05072438,75.17815936,549.6085037,99.2
100.5300043,58.87503884,346.2169588,16.4
111.0800579,43.83210532,174.1807719,8.9
123.9676767,42.26035796,51.02974612,5.9
